Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
DRH07,10.039,reg,0.054126,Soft Drinks,141.8152,OUT045,2002,,Tier 2,Supermarket Type1,2199.3248
DRH07,10.039,reg,0.044288,Soft Drinks,141.8152,OUT049,1999,Medium,Tier 1,Supermarket Type1,1137.7958
FDI08,12.587,Low Fat,0.072346,Fruits and Vegetables,189.0761,OUT017,2007,,Tier 2,Supermarket Type1,2708.1045
FDI08,12.587,Low Fat,0.082961,Fruits and Vegetables,189.0761,OUT018,2009,Medium,Tier 3,Supermarket Type2,2145.9939
FDI08,12.587,Low Fat,0.091539,Fruits and Vegetables,189.0761,OUT019,1985,Small,Tier 1,Grocery Store,540.1496
FDI08,12.587,Low Fat,0.0,Fruits and Vegetables,189.0761,OUT027,1985,Medium,Tier 3,Supermarket Type3,3780.4108
FDI08,12.587,Low Fat,0.120519,Fruits and Vegetables,189.0761,OUT035,2004,Small,Tier 2,Supermarket Type1,2760.503
FDI08,12.587,Low Fat,0.085596,Fruits and Vegetables,189.0761,OUT045,2002,,Tier 2,Supermarket Type1,2274.8506
FDI08,12.587,Low Fat,0.093558,Fruits and Vegetables,189.0761,OUT046,1997,Small,Tier 1,Supermarket Type1,2305.4068
FDI08,,Low Fat,0.087931,Fruits and Vegetables,189.0761,OUT049,1999,Medium,Tier 1,Supermarket Type1,1750.4798
FDJ09,18.656,Regular,0.183818,Breads,104.7185,OUT010,1998,,Tier 3,Grocery Store,214.6118
FDJ09,,Regular,0.204509,Breads,104.7185,OUT017,2007,,Tier 2,Supermarket Type1,1537.1096
FDJ09,18.656,Regular,0.209522,Breads,104.7185,OUT035,2004,Small,Tier 2,Supermarket Type1,1405.405
FDJ09,18.656,Regular,0.179232,Breads,104.7185,OUT045,2002,,Tier 2,Supermarket Type1,1492.7393
FDJ09,18.656,Regular,0.158009,Breads,104.7185,OUT046,1997,Small,Tier 1,Supermarket Type1,862.0716
FDJ09,18.656,Regular,0.179249,Breads,104.7185,OUT049,1999,Medium,Tier 1,Supermarket Type1,1817.8477
FDK10,11.087,Regular,0.03753,Canned,192.0689,OUT010,1998,,Tier 3,Grocery Store,687.7039
FDK10,11.087,Regular,0.045849,Canned,192.0689,OUT017,2007,,Tier 2,Supermarket Type1,3415.3777
FDK10,11.087,Regular,0.042312,Canned,192.0689,OUT018,2009,Medium,Tier 3,Supermarket Type2,2171.9285
FDK10,11.087,Regular,0.031932,Canned,192.0689,OUT019,1985,Small,Tier 1,Grocery Store,665.5002
FDK10,11.087,Regular,0.044461,Canned,192.0689,OUT035,2004,Small,Tier 2,Supermarket Type1,1550.9699
FDK10,,Regular,0.043992,Canned,192.0689,OUT045,2002,,Tier 2,Supermarket Type1,3023.8096
FDK10,11.087,Regular,0.047488,Canned,192.0689,OUT046,1997,Small,Tier 1,Supermarket Type1,1832.2674
FDK10,,Regular,0.046047,Canned,192.0689,OUT049,1999,Medium,Tier 1,Supermarket Type1,1670.3092
FDL11,,Regular,0.117561,Dairy,216.7142,OUT010,1998,,Tier 3,Grocery Store,792.8778
FDL11,7.898,Regular,0.10985,Dairy,216.7142,OUT013,1987,High,Tier 3,Supermarket Type1,2930.3768
FDL11,7.898,Regular,0.14881,Dairy,216.7142,OUT017,2007,,Tier 2,Supermarket Type1,3899.6028
FDL11,7.898,Regular,0.175309,Dairy,216.7142,OUT019,1985,Small,Tier 1,Grocery Store,683.3047
FDL11,7.898,Regular,0.124326,Dairy,216.7142,OUT035,2004,Small,Tier 2,Supermarket Type1,3537.036
FDL11,7.898,Regular,0.121725,Dairy,216.7142,OUT045,2002,,Tier 2,Supermarket Type1,3470.4383
FDL11,,Regular,0.107196,Dairy,216.7142,OUT046,1997,Small,Tier 1,Supermarket Type1,1941.9656
FDL11,7.898,Regular,0.0,Dairy,216.7142,OUT049,1999,Medium,Tier 1,Supermarket Type1,1734.8378
FDM12,,Regular,0.026357,Frozen Foods,165.2229,OUT010,1998,,Tier 3,Grocery Store,670.4445
FDM12,,Regular,0.04365,Frozen Foods,165.2229,OUT017,2007,,Tier 2,Supermarket Type1,2675.289
FDM12,17.772,Regular,0.041778,Frozen Foods,165.2229,OUT018,2009,Medium,Tier 3,Supermarket Type2,2308.3226
FDM12,17.772,Regular,0.035787,Frozen Foods,165.2229,OUT019,1985,Small,Tier 1,Grocery Store,420.9835
FDM12,17.772,Regular,0.028202,Frozen Foods,165.2229,OUT027,1985,Medium,Tier 3,Supermarket Type3,2580.891
FDM12,17.772,Regular,0.034335,Frozen Foods,165.2229,OUT035,2004,Small,Tier 2,Supermarket Type1,1548.4876
FDM12,17.772,Regular,0.034212,Frozen Foods,165.2229,OUT045,2002,,Tier 2,Supermarket Type1,2933.6906
FDN13,6.447,LF,0.102539,Breads,142.1787,OUT010,1998,,Tier 3,Grocery Store,485.6898
FDN13,6.447,LF,0.0,Breads,142.1787,OUT013,1987,High,Tier 3,Supermarket Type1,1207.75
FDN13,6.447,LF,0.100503,Breads,142.1787,OUT017,2007,,Tier 2,Supermarket Type1,2215.0166
FDN13,6.447,LF,0.109321,Breads,142.1787,OUT018,2009,Medium,Tier 3,Supermarket Type2,1691.5378
FDN13,6.447,LF,0.129838,Breads,142.1787,OUT019,1985,Small,Tier 1,Grocery Store,284.7368
FDN13,6.447,LF,0.127699,Breads,142.1787,OUT027,1985,Medium,Tier 3,Supermarket Type3,3845.1125
FDN13,6.447,LF,0.0,Breads,142.1787,OUT035,2004,Small,Tier 2,Supermarket Type1,1443.3673
FDN13,6.447,LF,0.097256,Breads,142.1787,OUT046,1997,Small,Tier 1,Supermarket Type1,1431.7184
FDO14,15.29,Regular,0.06045,Frozen Foods,162.9729,OUT013,1987,High,Tier 3,Supermarket Type1,1393.859
FDO14,,Regular,0.055775,Frozen Foods,162.9729,OUT018,2009,Medium,Tier 3,Supermarket Type2,2536.9991
FDO14,15.29,Regular,0.052383,Frozen Foods,162.9729,OUT035,2004,Small,Tier 2,Supermarket Type1,2533.0414
FDO14,15.29,Regular,0.0,Frozen Foods,162.9729,OUT045,2002,,Tier 2,Supermarket Type1,1957.7363
FDO14,15.29,Regular,0.070875,Frozen Foods,162.9729,OUT046,1997,Small,Tier 1,Supermarket Type1,1581.3932
FDO14,15.29,Regular,0.067493,Frozen Foods,162.9729,OUT049,1999,Medium,Tier 1,Supermarket Type1,1924.2738
FDP15,,Low Fat,0.068066,Frozen Foods,81.642,OUT010,1998,,Tier 3,Grocery Store,202.7188
FDP15,5.024,Low Fat,0.092317,Frozen Foods,81.642,OUT013,1987,High,Tier 3,Supermarket Type1,986.7819
FDP15,5.024,Low Fat,0.110057,Frozen Foods,81.642,OUT017,2007,,Tier 2,Supermarket Type1,972.7579
FDP15,5.024,Low Fat,0.091192,Frozen Foods,81.642,OUT018,2009,Medium,Tier 3,Supermarket Type2,1071.8599
FDP15,,Low Fat,0.07951,Frozen Foods,81.642,OUT019,1985,Small,Tier 1,Grocery Store,182.6004
FDP15,5.024,Low Fat,0.08179,Frozen Foods,81.642,OUT027,1985,Medium,Tier 3,Supermarket Type3,1780.0208
FDP15,,Low Fat,0.110095,Frozen Foods,81.642,OUT045,2002,,Tier 2,Supermarket Type1,1199.2782
FDP15,,Low Fat,0.081968,Frozen Foods,81.642,OUT046,1997,Small,Tier 1,Supermarket Type1,1125.8248
NCQ16,8.477,Regular,0.0,Others,97.4066,OUT010,1998,,Tier 3,Grocery Store,375.858
NCQ16,8.477,Regular,0.0,Others,97.4066,OUT013,1987,High,Tier 3,Supermarket Type1,1545.5015
NCQ16,,Regular,0.060773,Others,97.4066,OUT017,2007,,Tier 2,Supermarket Type1,1042.5835
NCQ16,8.477,Regular,0.065648,Others,97.4066,OUT018,2009,Medium,Tier 3,Supermarket Type2,1547.6685
NCQ16,8.477,Regular,0.053453,Others,97.4066,OUT019,1985,Small,Tier 1,Grocery Store,408.6566
NCQ16,8.477,Regular,0.065063,Others,97.4066,OUT035,2004,Small,Tier 2,Supermarket Type1,1735.9262
NCQ16,8.477,Regular,0.060651,Others,97.4066,OUT045,2002,,Tier 2,Supermarket Type1,894.5813
NCQ16,,Regular,0.057273,Others,97.4066,OUT046,1997,Small,Tier 1,Supermarket Type1,1630.9121
NCQ16,8.477,Regular,0.064349,Others,97.4066,OUT049,1999,Medium,Tier 1,Supermarket Type1,938.4071
FDR17,15.753,Low Fat,0.0,Frozen Foods,216.0,OUT010,1998,,Tier 3,Grocery Store,681.3327
FDR17,15.753,Low Fat,0.103266,Frozen Foods,216.0,OUT019,1985,Small,Tier 1,Grocery Store,650.6968
FDR17,15.753,Low Fat,0.101952,Frozen Foods,216.0,OUT027,1985,Medium,Tier 3,Supermarket Type3,5776.3898
FDR17,15.753,Low Fat,0.0,Frozen Foods,216.0,OUT035,2004,Small,Tier 2,Supermarket Type1,2882.7376
FDR17,15.753,Low Fat,0.098656,Frozen Foods,216.0,OUT045,2002,,Tier 2,Supermarket Type1,2379.8121
FDR17,15.753,Low Fat,0.163802,Frozen Foods,216.0,OUT049,1999,Medium,Tier 1,Supermarket Type1,1857.2206
FDS18,18.338,LF,0.033871,Fruits and Vegetables,36.36,OUT013,1987,High,Tier 3,Supermarket Type1,435.314
FDS18,18.338,LF,0.024029,Fruits and Vegetables,36.36,OUT018,2009,Medium,Tier 3,Supermarket Type2,355.3981
FDS18,18.338,LF,0.03049,Fruits and Vegetables,36.36,OUT027,1985,Medium,Tier 3,Supermarket Type3,1033.1462
FDS18,18.338,LF,0.021041,Fruits and Vegetables,36.36,OUT035,2004,Small,Tier 2,Supermarket Type1,489.2877
FDS18,18.338,LF,0.034783,Fruits and Vegetables,36.36,OUT045,2002,,Tier 2,Supermarket Type1,466.4764
FDS18,,LF,0.024858,Fruits and Vegetables,36.36,OUT046,1997,Small,Tier 1,Supermarket Type1,323.5143
FDS18,,LF,0.026232,Fruits and Vegetables,36.36,OUT049,1999,Medium,Tier 1,Supermarket Type1,513.4836
FDT19,16.78,Regular,0.087443,Frozen Foods,69.0601,OUT017,2007,,Tier 2,Supermarket Type1,1199.0055
FDT19,16.78,Regular,0.131232,Frozen Foods,69.0601,OUT046,1997,Small,Tier 1,Supermarket Type1,984.7898
FDT19,16.78,Regular,0.112633,Frozen Foods,69.0601,OUT049,1999,Medium,Tier 1,Supermarket Type1,1207.7528
NCU20,16.337,Low Fat,0.085281,Health and Hygiene,120.921,OUT017,2007,,Tier 2,Supermarket Type1,1899.3947
NCU20,16.337,Low Fat,0.073472,Health and Hygiene,120.921,OUT019,1985,Small,Tier 1,Grocery Store,373.271
NCU20,,Low Fat,0.053919,Health and Hygiene,120.921,OUT027,1985,Medium,Tier 3,Supermarket Type3,1911.3326
NCU20,16.337,Low Fat,0.068077,Health and Hygiene,120.921,OUT035,2004,Small,Tier 2,Supermarket Type1,1495.3907
NCU20,16.337,Low Fat,0.066397,Health and Hygiene,120.921,OUT045,2002,,Tier 2,Supermarket Type1,1048.1744
NCU20,16.337,Low Fat,0.049153,Health and Hygiene,120.921,OUT049,1999,Medium,Tier 1,Supermarket Type1,1534.4936
FDV21,15.215,low fat,0.023868,Fruits and Vegetables,51.6854,OUT010,1998,,Tier 3,Grocery Store,187.1249
FDV21,15.215,low fat,0.035104,Fruits and Vegetables,51.6854,OUT013,1987,High,Tier 3,Supermarket Type1,739.6519
FDV21,15.215,low fat,0.035764,Fruits and Vegetables,51.6854,OUT017,2007,,Tier 2,Supermarket Type1,605.1907
FDV21,15.215,low fat,0.032533,Fruits and Vegetables,51.6854,OUT018,2009,Medium,Tier 3,Supermarket Type2,585.9773
FDV21,15.215,low fat,0.025246,Fruits and Vegetables,51.6854,OUT019,1985,Small,Tier 1,Grocery Store,184.365
FDV21,,low fat,0.027997,Fruits and Vegetables,51.6854,OUT027,1985,Medium,Tier 3,Supermarket Type3,1452.1916
FDV21,15.215,low fat,0.039868,Fruits and Vegetables,51.6854,OUT046,1997,Small,Tier 1,Supermarket Type1,779.4973
FDV21,15.215,low fat,0.032001,Fruits and Vegetables,51.6854,OUT049,1999,Medium,Tier 1,Supermarket Type1,554.8064
FDW22,19.946,reg,0.218026,Frozen Foods,93.7453,OUT013,1987,High,Tier 3,Supermarket Type1,1200.9927
FDW22,19.946,reg,0.230845,Frozen Foods,93.7453,OUT017,2007,,Tier 2,Supermarket Type1,1519.1961
FDW22,19.946,reg,0.156443,Frozen Foods,93.7453,OUT018,2009,Medium,Tier 3,Supermarket Type2,1005.7502
FDW22,19.946,reg,0.172459,Frozen Foods,93.7453,OUT019,1985,Small,Tier 1,Grocery Store,218.1665
FDW22,19.946,reg,0.178916,Frozen Foods,93.7453,OUT027,1985,Medium,Tier 3,Supermarket Type3,2344.6157
FDW22,19.946,reg,0.210801,Frozen Foods,93.7453,OUT035,2004,Small,Tier 2,Supermarket Type1,1686.3182
FDW22,,reg,0.241741,Frozen Foods,93.7453,OUT045,2002,,Tier 2,Supermarket Type1,1182.0639
FDW22,19.946,reg,0.193481,Frozen Foods,93.7453,OUT049,1999,Medium,Tier 1,Supermarket Type1,1282.5926
DRX23,17.739,Low Fat,0.047232,Hard Drinks,137.0493,OUT010,1998,,Tier 3,Grocery Store,545.8005
DRX23,17.739,Low Fat,0.075537,Hard Drinks,137.0493,OUT013,1987,High,Tier 3,Supermarket Type1,1527.2061
DRX23,17.739,Low Fat,0.077977,Hard Drinks,137.0493,OUT018,2009,Medium,Tier 3,Supermarket Type2,1673.7853
DRX23,17.739,Low Fat,0.058129,Hard Drinks,137.0493,OUT045,2002,,Tier 2,Supermarket Type1,2030.1517
DRX23,17.739,Low Fat,0.053012,Hard Drinks,137.0493,OUT049,1999,Medium,Tier 1,Supermarket Type1,1288.3394
FDY24,19.844,Low Fat,0.057309,Dairy,78.7578,OUT010,1998,,Tier 3,Grocery Store,347.4241
FDY24,19.844,Low Fat,0.065373,Dairy,78.7578,OUT013,1987,High,Tier 3,Supermarket Type1,1241.0584
FDY24,19.844,Low Fat,0.081831,Dairy,78.7578,OUT017,2007,,Tier 2,Supermarket Type1,633.4535
FDY24,19.844,Low Fat,0.049272,Dairy,78.7578,OUT018,2009,Medium,Tier 3,Supermarket Type2,934.8733
FDY24,19.844,Low Fat,0.078232,Dairy,78.7578,OUT027,1985,Medium,Tier 3,Supermarket Type3,1246.0573
FDY24,19.844,Low Fat,0.06729,Dairy,78.7578,OUT035,2004,Small,Tier 2,Supermarket Type1,1135.8863
FDY24,19.844,Low Fat,0.064528,Dairy,78.7578,OUT045,2002,,Tier 2,Supermarket Type1,1357.2702
FDY24,19.844,Low Fat,0.078538,Dairy,78.7578,OUT046,1997,Small,Tier 1,Supermarket Type1,998.8312
FDZ25,14.347,low fat,0.134647,Snack Foods,233.161,OUT010,1998,,Tier 3,Grocery Store,995.3672
FDZ25,14.347,low fat,0.145061,Snack Foods,233.161,OUT027,1985,Medium,Tier 3,Supermarket Type3,6143.0315
FDZ25,14.347,low fat,0.180279,Snack Foods,233.161,OUT046,1997,Small,Tier 1,Supermarket Type1,4004.2967
FDZ25,14.347,low fat,0.0,Snack Foods,233.161,OUT049,1999,Medium,Tier 1,Supermarket Type1,3887.7814
FDA26,11.846,Regular,0.15429,Fruits and Vegetables,168.8471,OUT010,1998,,Tier 3,Grocery Store,667.2999
FDA26,11.846,Regular,0.128764,Fruits and Vegetables,168.8471,OUT013,1987,High,Tier 3,Supermarket Type1,2241.3737
FDA26,11.846,Regular,0.15344,Fruits and Vegetables,168.8471,OUT017,2007,,Tier 2,Supermarket Type1,1549.7528
FDA26,11.846,Regular,0.133893,Fruits and Vegetables,168.8471,OUT018,2009,Medium,Tier 3,Supermarket Type2,1816.1053
FDA26,11.846,Regular,0.113188,Fruits and Vegetables,168.8471,OUT019,1985,Small,Tier 1,Grocery Store,623.8782
FDA26,11.846,Regular,0.170359,Fruits and Vegetables,168.8471,OUT035,2004,Small,Tier 2,Supermarket Type1,2900.5568
FDA26,,Regular,0.14454,Fruits and Vegetables,168.8471,OUT045,2002,,Tier 2,Supermarket Type1,3016.6708
FDA26,11.846,Regular,0.163545,Fruits and Vegetables,168.8471,OUT046,1997,Small,Tier 1,Supermarket Type1,2680.9422
FDA26,11.846,Regular,0.164185,Fruits and Vegetables,168.8471,OUT049,1999,Medium,Tier 1,Supermarket Type1,2651.2255
DRB27,5.936,Regular,0.113734,Soft Drinks,40.8209,OUT010,1998,,Tier 3,Grocery Store,84.1371
DRB27,5.936,Regular,0.107817,Soft Drinks,40.8209,OUT013,1987,High,Tier 3,Supermarket Type1,349.1044
DRB27,,Regular,0.074626,Soft Drinks,40.8209,OUT017,2007,,Tier 2,Supermarket Type1,712.3852
DRB27,5.936,Regular,0.088754,Soft Drinks,40.8209,OUT018,2009,Medium,Tier 3,Supermarket Type2,568.007
DRB27,,Regular,0.121261,Soft Drinks,40.8209,OUT027,1985,Medium,Tier 3,Supermarket Type3,673.2159
DRB27,5.936,Regular,0.116945,Soft Drinks,40.8209,OUT035,2004,Small,Tier 2,Supermarket Type1,630.2725
DRB27,5.936,Regular,0.100713,Soft Drinks,40.8209,OUT045,2002,,Tier 2,Supermarket Type1,408.8356
DRB27,5.936,Regular,0.094484,Soft Drinks,40.8209,OUT046,1997,Small,Tier 1,Supermarket Type1,384.1358
DRB27,5.936,Regular,0.130149,Soft Drinks,40.8209,OUT049,1999,Medium,Tier 1,Supermarket Type1,395.6095
FDC28,6.957,Low Fat,0.031573,Breads,169.6841,OUT018,2009,Medium,Tier 3,Supermarket Type2,2485.0731
FDC28,6.957,Low Fat,0.045744,Breads,169.6841,OUT019,1985,Small,Tier 1,Grocery Store,610.2127
FDC28,,Low Fat,0.041074,Breads,169.6841,OUT027,1985,Medium,Tier 3,Supermarket Type3,3441.6074
FDC28,6.957,Low Fat,0.036323,Breads,169.6841,OUT035,2004,Small,Tier 2,Supermarket Type1,1775.4934
FDC28,6.957,Low Fat,0.047147,Breads,169.6841,OUT045,2002,,Tier 2,Supermarket Type1,1489.3931
FDC28,6.957,Low Fat,0.035201,Breads,169.6841,OUT046,1997,Small,Tier 1,Supermarket Type1,2901.253
FDC28,6.957,Low Fat,0.037064,Breads,169.6841,OUT049,1999,Medium,Tier 1,Supermarket Type1,2412.6738
FDD29,20.227,reg,0.095502,Breads,112.8613,OUT010,1998,,Tier 3,Grocery Store,416.1056
FDD29,20.227,reg,0.1156,Breads,112.8613,OUT017,2007,,Tier 2,Supermarket Type1,1153.8577
FDD29,20.227,reg,0.102984,Breads,112.8613,OUT018,2009,Medium,Tier 3,Supermarket Type2,1366.9969
FDD29,20.227,reg,0.122215,Breads,112.8613,OUT019,1985,Small,Tier 1,Grocery Store,487.5525
FDD29,20.227,reg,0.129757,Breads,112.8613,OUT027,1985,Medium,Tier 3,Supermarket Type3,1574.3706
FDD29,20.227,reg,0.153211,Breads,112.8613,OUT035,2004,Small,Tier 2,Supermarket Type1,1431.443
FDD29,,reg,0.098862,Breads,112.8613,OUT045,2002,,Tier 2,Supermarket Type1,1010.3203
FDD29,20.227,reg,0.142027,Breads,112.8613,OUT046,1997,Small,Tier 1,Supermarket Type1,939.1743
FDE30,20.796,Low Fat,0.020586,Fruits and Vegetables,215.7255,OUT010,1998,,Tier 3,Grocery Store,607.3958
FDE30,20.796,Low Fat,0.029725,Fruits and Vegetables,215.7255,OUT013,1987,High,Tier 3,Supermarket Type1,3679.828
FDE30,20.796,Low Fat,0.031115,Fruits and Vegetables,215.7255,OUT017,2007,,Tier 2,Supermarket Type1,2208.9119
FDE30,20.796,Low Fat,0.033334,Fruits and Vegetables,215.7255,OUT027,1985,Medium,Tier 3,Supermarket Type3,4579.5011
FDE30,20.796,Low Fat,0.032399,Fruits and Vegetables,215.7255,OUT035,2004,Small,Tier 2,Supermarket Type1,2866.0033
FDE30,20.796,Low Fat,0.02479,Fruits and Vegetables,215.7255,OUT045,2002,,Tier 2,Supermarket Type1,3850.8009
FDE30,20.796,Low Fat,0.022156,Fruits and Vegetables,215.7255,OUT046,1997,Small,Tier 1,Supermarket Type1,2906.4326
FDE30,20.796,Low Fat,0.027828,Fruits and Vegetables,215.7255,OUT049,1999,Medium,Tier 1,Supermarket Type1,3341.9637
FDF31,12.773,Regular,0.092095,Frozen Foods,252.327,OUT010,1998,,Tier 3,Grocery Store,1041.1775
FDF31,12.773,Regular,0.0,Frozen Foods,252.327,OUT017,2007,,Tier 2,Supermarket Type1,2816.8814
FDF31,12.773,Regular,0.102616,Frozen Foods,252.327,OUT018,2009,Medium,Tier 3,Supermarket Type2,1941.5086
FDF31,12.773,Regular,0.094101,Frozen Foods,252.327,OUT027,1985,Medium,Tier 3,Supermarket Type3,5025.0943
